Event,Symbol,For display,Text
CoP8,#6,CoP8 #6,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) tissue cultures and flasked seedling cultures; and
c) separate leaves and parts and derivatives thereof of naturalized or artificially propagated Aloe vera"
CoP8,#7,CoP8 #7,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) tissue cultures and flasked seedling cultures;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla"
CoP9,#1,CoP9 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers"
CoP9,#2,CoP9 #2,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and
c) chemical derivatives"
CoP9,#3,CoP9 #3,Designates roots and readily recognizable parts thereof
CoP9,#4,CoP9 #4,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus Opuntia subgenus Opuntia"
CoP9,#5,CoP9 #5,"Designates saw-logs, sawn wood and veneers"
CoP9,#6,CoP9 #6,"Designates logs, wood-chips and unprocessed broken material"
CoP9,#7,CoP9 #7,"Designates all parts and derivatives, except:
a) seeds and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla"
CoP9,#8,CoP9 #8,"#8 Designates all parts and derivatives, except:
a) seeds and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;and
c) finished pharmaceutical products"
CoP10,#1,CoP10 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and
c) cut flowers of artificially propagated plants"
CoP10,#2,CoP10 #2,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) chemical derivatives"
CoP10,#3,CoP10 #3,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery"
CoP10,#4,CoP10 #4,"Designates all parts and derivatives, except:
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants;
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus Opuntia subgenus Opuntia"
CoP10,#5,CoP10 #5,"Designates logs, sawn wood and veneer sheets"
CoP10,#6,CoP10 #6,"Designates logs, wood-chips and unprocessed broken material"
CoP10,#7,CoP10 #7,"Designates all parts and derivatives, except:
a) seeds and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla"
CoP10,#8,CoP10 #8,"Designates all parts and derivatives, except:
a) seeds and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) finished pharmaceutical products."
CoP11,#1,CoP11 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and
c) cut flowers of artificially propagated plants"
CoP11,#2,CoP11 #2,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) chemical derivatives and finished pharmaceutical products"
CoP11,#3,CoP11 #3,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery"
CoP11,#4,CoP11 #4,"Designates all parts and derivatives, except:
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants;
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus Opuntia subgenus Opuntia"
CoP11,#5,CoP11 #5,"Designates logs, sawn wood and veneer sheets"
CoP11,#6,CoP11 #6,"Designates logs, wood-chips and unprocessed broken material"
CoP11,#7,CoP11 #7,"Designates all parts and derivatives, except:
a) seeds and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla"
CoP12,#1,CoP12 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and
c) cut flowers of artificially propagated plants"
CoP12,#2,CoP12 #2,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) chemical derivatives and finished pharmaceutical products"
CoP12,#3,CoP12 #3,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery"
CoP12,#4,CoP12 #4,"Designates all parts and derivatives, except:
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants;
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus Opuntia subgenus Opuntia"
CoP12,#5,CoP12 #5,"Designates logs, sawn wood and veneer sheets"
CoP12,#6,CoP12 #6,"Designates logs, sawn wood, veneer sheets and plywood"
CoP12,#7,CoP12 #7,"Designates logs, wood-chips and unprocessed broken material"
CoP12,#8,CoP12 #8,"Designates all parts and derivatives, except:
a) seeds and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla"
CoP13,#1,CoP13 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and
c) cut flowers of artificially propagated plants"
CoP13,#2,CoP13 #2,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) chemical derivatives and finished pharmaceutical products"
CoP13,#3,CoP13 #3,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery"
CoP13,#4,CoP13 #4,"Designates all parts and derivatives, except:
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants;
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus Opuntia subgenus Opuntia"
CoP13,#5,CoP13 #5,"Designates logs, sawn wood and veneer sheets"
CoP13,#6,CoP13 #6,"Designates logs, sawn wood, veneer sheets and plywood"
CoP13,#7,CoP13 #7,"Designates logs, wood-chips and unprocessed broken material"
CoP13,#8,CoP13 #8,"Designates all parts and derivatives, except:
a) seeds and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla"
CoP13,#9,CoP13 #9,"Designates all parts and derivatives except those bearing the label ""Produced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx"""
CoP13,#10,CoP13 #10,"Designates all parts and derivatives, except:
a) seeds and pollen; and
b) finished pharmaceutical products"
CoP14,#1,CoP14 #1,"All parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla"
CoP14,#2,CoP14 #2,"All parts and derivatives except:
a) seeds and pollen; and
b) finished products packaged and ready for retail trade"
CoP14,#3,CoP14 #3,Whole and sliced roots and parts of roots
CoP14,#4,CoP14 #4,"All parts and derivatives, except:
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants;
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus Opuntia subgenus Opuntia."
CoP14,#5,CoP14 #5,"Logs, sawn wood and veneer sheets"
CoP14,#6,CoP14 #6,"Logs, sawn wood, veneer sheets and plywood"
CoP14,#7,CoP14 #7,"Logs, wood-chips, powder and extracts"
CoP14,#8,CoP14 #8,"Underground parts (i.e. roots, rhizomes): whole, parts and powdered"
CoP14,#9,CoP14 #9,All parts and derivatives except those bearing a label ñProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxxî
CoP14,#10,CoP14 #10,"Logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments"
CoP14,#11,CoP14 #11,"Logs, sawn wood, veneer sheets, plywood, powder and extracts"
CoP15,#1,CoP15 #1,"All parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants; and
d) fruits, and parts and derivatives thereof, of artificially propagated plants of the genus Vanilla"
CoP15,#2,CoP15 #2,"All parts and derivatives except:
a) seeds and pollen; and
b) finished products packaged and ready for retail trade"
CoP15,#3,CoP15 #3,Whole and sliced roots and parts of roots
CoP15,#4,CoP15 #4,"All parts and derivatives, except:
a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from Beccariophoenix madagascariensis and Neodypsis decaryi exported from Madagascar;
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
c) cut flowers of artificially propagated plants;
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants of the genus Vanilla (Orchidaceae) and of the family Cactaceae;
e) stems, flowers, and parts and derivatives thereof of naturalized or artificially propagated plants of the genera Opuntia subgenus Opuntia and Selenicereus (Cactaceae); and
f) finished products of Euphorbia antisyphilitica packaged and ready for retail trade"
CoP15,#5,CoP15 #5,"Logs, sawn wood and veneer sheets"
CoP15,#6,CoP15 #6,"Logs, sawn wood, veneer sheets and plywood"
CoP15,#7,CoP15 #7,"Logs, wood-chips, powder and extracts"
CoP15,#8,CoP15 #8,"Underground parts (i.e. roots, rhizomes): whole, parts and powdered"
CoP15,#9,CoP15 #9,All parts and derivatives except those bearing a label ñProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxxî.
CoP15,#10,CoP15 #10,"Logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments"
CoP15,#11,CoP15 #11,"Logs, sawn wood, veneer sheets, plywood, powder and extracts"
CoP15,#12,CoP15 #12,"Logs, sawn wood, veneer sheets, plywood and essential oil (excluding finished products packaged and ready for retail trade)"
CoP15,#13,CoP15 #13,"The kernel (also known as 'endosperm', 'pulp' or 'copra') and any derivative thereof"
