Event,Symbol,For display,Text
No 1497/2003,#5,#5 No 1497/2003,"Designates logs, sawn wood and veneer sheets."
No 1497/2003,#6,#6 No 1497/2003,"Designates logs, sawn wood, veneer sheets and plywood."
No 1497/2003,#7,#7 No 1497/2003,"Designates logs, wood-chips and unprocessed broken material."
No 1497/2003,#8,#8 No 1497/2003,"Designates all parts and derivatives, except:
(a) seeds and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 1332/2005,#1,#1 No 1332/2005,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers,
and
(c) cut flowers of artificially propagated plants."
No 1332/2005,#2,#2 No 1332/2005,"Designates all parts and derivations, except:
(a) seeds and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) chemical derivatives and finished pharmaceutical products."
No 1332/2005,#3,#3 No 1332/2005,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as
powders, pills, extracts, tonics, teas and confectionery."
No 1332/2005,#4,#4 No 1332/2005,"Designates all parts and derivatives, except:
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
No 1332/2005,#5,#5 No 1332/2005,"Designates logs, sawn wood and veneer sheets."
No 1332/2005,#6,#6 No 1332/2005,"Designates logs, sawn wood, veneer sheets and plywood."
No 1332/2005,#7,#7 No 1332/2005,"Designates logs, wood-chips and unprocessed broken material."
No 1332/2005,#8,#8 No 1332/2005,"Designates all parts and derivatives, except:
(a) seeds and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 1332/2005,#9,#9 No 1332/2005,"Designates all parts and derivatives, except those bearing a label ñProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under Agreement No BW/NA/ZA xxxxxxî."
No 1332/2005,#10,#10 No 1332/2005,"Designates all parts and derivatives, except:
(a) seeds and pollen; and
(b) finished pharmaceutical products."
No 318/2008,#1,#1 No 318/2008,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 318/2008,#2,#2 No 318/2008,"Designates all parts and derivations, except:
(a) seeds and pollen; and
(b) finished products packaged and ready for retail trade."
No 318/2008,#3,#3 No 318/2008,Designates whole and sliced roots and parts of roots.
No 318/2008,#4,#4 No 318/2008,"Designates all parts and derivatives, except:
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
No 318/2008,#5,#5 No 318/2008,"Designates logs, sawn wood and veneer sheets."
No 318/2008,#6,#6 No 318/2008,"Designates logs, sawn wood, veneer sheets and plywood."
No 318/2008,#7,#7 No 318/2008,"Designates logs, wood-chips, powder and extracts."
No 318/2008,#8,#8 No 318/2008,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
No 318/2008,#9,#9 No 318/2008,"Designates all parts and derivatives, except those bearing a label ñProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement No BW/NA/ZA xxxxxxî."
No 318/2008,#10,#10 No 318/2008,"Designates logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
No 318/2008,#11,#11 No 318/2008,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
No 407/2009,#1,#1 No 407/2009,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 407/2009,#2,#2 No 407/2009,"Designates all parts and derivations, except:
(a) seeds and pollen; and
(b) finished products packaged and ready for retail trade."
No 407/2009,#3,#3 No 407/2009,Designates whole and sliced roots and parts of roots.
No 407/2009,#4,#4 No 407/2009,"Designates all parts and derivatives, except:
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and
(e) separate stem joints (pads) and parts and derivatives thereof of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
No 407/2009,#5,#5 No 407/2009,"Designates logs, sawn wood and veneer sheets."
No 407/2009,#6,#6 No 407/2009,"Designates logs, sawn wood, veneer sheets and plywood."
No 407/2009,#7,#7 No 407/2009,"Designates logs, wood-chips, powder and extracts."
No 407/2009,#8,#8 No 407/2009,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
No 407/2009,#9,#9 No 407/2009,"Designates all parts and derivatives, except those bearing a label ñProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement No BW/NA/ZA xxxxxxî."
No 407/2009,#10,#10 No 407/2009,"Designates logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
No 407/2009,#11,#11 No 407/2009,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
No 709/2010,#1,#1 No 709/2010,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 709/2010,#2,#2 No 709/2010,"Designates all parts and derivatives, except:
(a) seeds and pollen; and
(b) finished products packaged and ready for retail trade."
No 709/2010,#3,#3 No 709/2010,Designates whole and sliced roots and parts of roots.
No 709/2010,#4,#4 No 709/2010,"Designates all parts and derivatives, except:
(a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not 
apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from Beccariophoenix madagascariensis and Neodypsis decaryi exported from Madagascar;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants of the genus Vanilla (Orchidaceae) and of the family Cactaceae;
(e) stems, flowers, and parts and derivatives thereof of naturalised or artificially propagated plants of the 
genera Opuntia subgenus Opuntia and Selenicereus (Cactaceae); and
(f) finished products of Euphorbia antisyphilitica packaged and ready for retail trade."
No 709/2010,#5,#5 No 709/2010,"Designates logs, sawn wood and veneer sheets."
No 709/2010,#6,#6 No 709/2010,"Designates logs, sawn wood, veneer sheets and plywood."
No 709/2010,#7,#7 No 709/2010,"Designates logs, wood-chips, powder and extracts."
No 709/2010,#8,#8 No 709/2010,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
No 709/2010,#9,#9 No 709/2010,"Designates all parts and derivatives, except those bearing a label ñProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement No BW/NA/ZA xxxxxxî."
No 709/2010,#10,#10 No 709/2010,"Designates logs, sawn wood and veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
No 709/2010,#11,#11 No 709/2010,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
No 709/2010,#12,#12 No 709/2010,"Designates logs, sawn wood, veneer sheets, plywood and essential oil, excluding finished products packaged and ready for retail trade."
No 101/2012,#1,#1 No 101/2012,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia);
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 101/2012,#2,#2 No 101/2012,"Designates all parts and derivatives, except:
(a) seeds and pollen; and
(b) finished products packaged and ready for retail trade."
No 101/2012,#3,#3 No 101/2012,Designates whole and sliced roots and parts of roots.
No 101/2012,#4,#4 No 101/2012,"Designates all parts and derivatives, except:
(a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not 
apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from Beccariophoenix madagascariensis and Neodypsis decaryi exported from Madagascar;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants of the genus Vanilla (Orchidaceae) and of the family Cactaceae;
(e) stems, flowers, and parts and derivatives thereof of naturalised or artificially propagated plants of the 
genera Opuntia subgenus Opuntia and Selenicereus (Cactaceae); and
(f) finished products of Euphorbia antisyphilitica packaged and ready for retail trade."
No 101/2012,#5,#5 No 101/2012,"Designates logs, sawn wood and veneer sheets."
No 101/2012,#6,#6 No 101/2012,"Designates logs, sawn wood, veneer sheets and plywood."
No 101/2012,#7,#7 No 101/2012,"Designates logs, wood-chips, powder and extracts."
No 101/2012,#8,#8 No 101/2012,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
No 101/2012,#9,#9 No 101/2012,"Designates all parts and derivatives, except those bearing a label ñProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxxî."
No 101/2012,#10,#10 No 101/2012,"Designates logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
No 101/2012,#11,#11 No 101/2012,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
No 101/2012,#12,#12 No 101/2012,"Designates logs, sawn wood, veneer sheets, plywood and essential oil, excluding finished products packaged and ready for retail trade."
No 101/2012,#13,#13 No 101/2012,"Designates the kernel (also known as ñendospermî, ñpulpî or ñcopraî) and any derivative thereof."
No 1158/2012,#1,#1 No 1158/2012,"Designates all parts and derivatives, except:
(a) seeds, spores and pollen (including pollinia); (b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants; and
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
No 1158/2012,#2,#2 No 1158/2012,"Designates all parts and derivatives, except:
(a) seeds and pollen; and
(b) finished products packaged and ready for retail trade."
No 1158/2012,#3,#3 No 1158/2012,Designates whole and sliced roots and parts of roots.
No 1158/2012,#4,#4 No 1158/2012,"Designates all parts and derivatives, except:
(a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not 
apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from Beccariophoenix madagascariensis and Neodypsis decaryi exported from Madagascar;
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;
(c) cut flowers of artificially propagated plants;
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants of the genus Vanilla (Orchidaceae) and of the family Cactaceae;
(e) stems, flowers, and parts and derivatives thereof of naturalised or artificially propagated plants of the 
genera Opuntia subgenus Opuntia and Selenicereus (Cactaceae); and
(f) finished products of Euphorbia antisyphilitica packaged and ready for retail trade."
No 1158/2012,#5,#5 No 1158/2012,"Designates logs, sawn wood and veneer sheets."
No 1158/2012,#6,#6 No 1158/2012,"Designates logs, sawn wood, veneer sheets and plywood."
No 1158/2012,#7,#7 No 1158/2012,"Designates logs, wood-chips, powder and extracts."
No 1158/2012,#8,#8 No 1158/2012,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
No 1158/2012,#9,#9 No 1158/2012,"Designates all parts and derivatives, except those bearing a label ñProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement No BW/NA/ZA xxxxxxî."
No 1158/2012,#10,#10 No 1158/2012,"Designates logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
No 1158/2012,#11,#11 No 1158/2012,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
No 1158/2012,#12,#12 No 1158/2012,"Designates logs, sawn wood, veneer sheets, plywood and essential oil, excluding finished products packaged and ready for retail trade."
No 1158/2012,#13,#13 No 1158/2012,"Designates the kernel (also known as ñendospermî, ñpulpî or ñcopraî) and any derivative thereof."
No 2724/2000,_1,_1 No 2724/2000,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
No 2724/2000,_2,_2 No 2724/2000,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
No 2724/2000,_3,_3 No 2724/2000,"Live specimens and dried and fresh plants, including; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 1497/2003,_1,_1 No 1497/2003,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
No 1497/2003,_2,_2 No 1497/2003,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
No 1497/2003,_3,_3 No 1497/2003,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 1332/2005,_1,_1 No 1332/2005,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
No 1332/2005,_2,_2 No 1332/2005,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
No 1332/2005,_3,_3 No 1332/2005,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 318/2008,_1,_1 No 318/2008,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
No 318/2008,_2,_2 No 318/2008,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
No 318/2008,_3,_3 No 318/2008,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 318/2008,_4,_4 No 318/2008,"Live specimens and logs, sawn wood and veneer sheets."
No 407/2009,_1,_1 No 407/2009,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
No 407/2009,_2,_2 No 407/2009,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
No 407/2009,_3,_3 No 407/2009,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 407/2009,_4,_4 No 407/2009,"Live specimens and logs, sawn wood and veneer sheets."
No 709/2010,_1,_1 No 709/2010,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
No 709/2010,_2,_2 No 709/2010,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
No 709/2010,_3,_3 No 709/2010,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 709/2010,_4,_4 No 709/2010,"Live specimens and logs, sawn wood and veneer sheets."
No 101/2012,_1,_1 No 101/2012,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
No 101/2012,_2,_2 No 101/2012,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
No 101/2012,_3,_3 No 101/2012,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 101/2012,_4,_4 No 101/2012,"Live specimens and logs, sawn wood and veneer sheets."
No 1158/2012,_1,_1 No 1158/2012,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
No 1158/2012,_2,_2 No 1158/2012,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
No 1158/2012,_3,_3 No 1158/2012,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
No 1158/2012,_4,_4 No 1158/2012,"Live specimens and logs, sawn wood and veneer sheets."
