"Event No","Event","Hash No","For Display","Annotations_English","Annotations_Spanish","Annotations_French"
28,"CoP5","#4","CoP5 #4","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) tissue cultures and flasked seedling cultures; and<p>
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants","Designa todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (incluso las polinias);<p>b) los cultivos de tejido y los cultivos de plántulas en frascos; y<p>c) los frutos, y sus partes y derivados, de ejemplares aclimatados o reproducidos artificialmente","Sert à désigner toutes les parties et tous les produits, sauf;<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les cultures de tissus et les cultures de plantules en flacons; et<p>c) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement"
28,"CoP5","#5","CoP5 #5","Designates all parts and derivatives, except:<p>
a) spores and pollen (including pollinia); and<p>
b) tissue cultures and flasked seedling cultures<p>","Designa todas las partes y derivados, excepto:<p>a) les esporas y el polen (incluso las polinias); y<p>b) los cultivos de tejido y los cultivos de plántulas en frascos","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les spores et le pollen (y compris les pollinies); et<p>b) les cultures de tissus et les cultures de plantules en flacons"
28,"CoP5","#6","CoP5 #6","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) tissue cultures and flasked seedling cultures; and<p>
c) separate leaves and parts and derivatives thereof of naturalized or artificially propagated <i>Aloe vera</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas, les esporas y el polen (incluso las polinias);<p>b) los cultivos de tejido y los cultivos de plántulas en frascos; y<p>c) las hojas sueltas, y sus partes y derivados, de <i>Aloe vera</i> aclimatadas o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les cultures de tissus et les cultures de plantules en flacons; et<p>c) les feuilles détachées, et leurs parties et produits, d’<i>Aloe vera</i> acclimatées ou reproduites artificiellement"
28,"CoP5","#7","CoP5 #7","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia); and<p>
b) tissue cultures and flasked seedling cultures;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives of artificially propagated <i><i>Vanilla</i> </i> spp.","Designa todas las partes y derivados, excepto:<p>a) las semillas, les esporas y el polen (incluso las polinias);<p>b) los cultivos de tejido y los cultivos de plántulas en frascos;<p>c) las flores cortadas de ejemplares reproducidos artificialmente; y<p>d) los frutos, y sus partes y derivados, de <i>Vanilla</i> spp. reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les cultures de tissus et les cultures de plantules en flacons;<p>c) les fleurs coupées des plantes reproduites artificiellement; et<p>d) les fruits, et leurs parties et produits, de <i>Vanilla</i> spp. reproduites artificiellement"
29,"CoP6","#1","CoP6 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia); and<p>
b) tissue cultures and flasked seedling cultures<p>","Designa todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (incluso las polinias); y<p>b) los cultivos de tejido y los cultivos de plántulas en frascos","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies); et<p>b) les cultures de tissus et les cultures de plantules en flacons"
29,"CoP6","#2","CoP6 #2","Designates roots and readily recognizable parts thereof","Designa las raíces y a sus partes fácilmente identificables","Sert à désigner les racines et leurs parties facilement identifiables"
29,"CoP6","#3","CoP6 #3","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) tissue cultures and flasked seedling cultures;<p>
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated <i>Opuntia</i> subgenus <i>Opuntia</i> spp.","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de tejido y los cultivos de plántulas en frascos;<p>c) los frutos, y sus partes y derivados, de ejemplares aclimatados o reproducidos artificialmente; y<p>d) los elementos del tallo (ramificaciones), y sus partes y derivados, de <i>Opuntia</i> subgénero <i>Opuntia</i> spp. aclimatadas o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de tissus et les cultures de plantules en flacons; <p>c) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et<p>d) les éléments de troncs (raquettes), et leurs parties et produits, d’Opuntia sous-genre <i>Opuntia</i> spp. acclimatées ou reproduites artificiellement"
29,"CoP6","#4","CoP6 #4","Designates all parts and derivatives, except:<p>
a) pollen; and<p>
b) tissue cultures and flasked seedling cultures<p>","Designa todas las partes y derivados, excepto:<p>a) el polen; y<p>b) los cultivos de tejido y los cultivos de plántulas en frascos","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) le pollen; et<p>b) les cultures de tissus et les cultures de plantules en flacons"
29,"CoP6","#5","CoP6 #5","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) tissue cultures and flasked seedling cultures; and<p>
c) separate leaves and parts and derivatives thereof of naturalized or artificially propagated <i>Aloe vera</i>","Designa todas las partes y derivados, excepto;<p>a) las semillas y el polen;<p>b) los cultivos de tejido y los cultivos de plántulas en frascos; y<p>c) las hojas sueltas, y sus partes y derivados, de <i>Aloe vera</i> aclimatadas o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de tissus et les cultures de plantules en flacons; et<p>c) les feuilles détachées, et leurs parties et produits, d’<i>Aloe vera</i> acclimatées ou reproduites artificiellement"
29,"CoP6","#6","CoP6 #6","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia); and<p>
b) tissue cultures and flasked seedling cultures;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives of artificially propagated <i><i>Vanilla</i> </i> spp.","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen (incluso las polinias);<p>b) los cultivos de tejido y los cultivos de plántulas en frascos;<p>c) los flores cortadas de ejemplares reproducidos artificialmente; y<p>d) los frutos, y sus partes y derivados, de <i>Vanilla</i> spp. reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen (y compris les pollinies);<p>b) les cultures de tissus et les cultures de plantules en flacons;<p>c) les fleurs coupées des plantes reproduites artificiellement; et<p>d) les fruits, et leurs parties et produits, de <i>Vanilla</i> spp. reproduites artificiellement"
30,"CoP7","#1","CoP7 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia); and<p>
b) tissue cultures and flasked seedling cultures<p>","Designa todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (incluso las polinias); y <p>b) los cultivos de tejido y los cultivos de plántulas en frascos","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines, les spores et le pollen (y compris les pollinies); et <p>b) les cultures de tissus et les cultures de plantules en flacons"
30,"CoP7","#2","CoP7 #2","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) tissue cultures and flasked seedling cultures; and<p>
c) chemical derivatives","Designa todas las partes y derivados, excepto: <p>a) las semillas y el polen; <p>b) los cultivos de tejido y los cultivos de plántulas en frascos; y <p>c) los derivados químicos","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; <p>b) les cultures de tissus et les cultures de plantules en flacons; et<p>c) les produits chimiques"
30,"CoP7","#3","CoP7 #3","Designates roots and readily recognizable parts thereof","Designa las raíces y a sus partes fácilmente identificables","Sert à désigner les racines et leurs parties facilement identifiables"
30,"CoP7","#4","CoP7 #4","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) tissue cultures and flasked seedling cultures;<p>
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated <i>Opuntia</i> subgenus <i>Opuntia</i> spp.","Designa todas las partes y derivados, excepto: <p>a) las semillas y el polen; <p>b) los cultivos de tejido y los cultivos de plántulas en frascos;<p>c) los frutos, y sus partes y derivados, de ejemplares aclimatados o reproducidos artificialmente; y<p>d) los elementos del tallo (ramificaciones), y sus partes y derivados, de <i>Opuntia</i> subgénero <i>Opuntia</i> spp. aclimatadas o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; <p>b) les cultures de tissus et les cultures de plantules en flacons; <p>c) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et <p>d) les éléments de troncs (raquettes), et leurs parties et produits, d’Opuntia sous-genre <i>Opuntia</i> spp. acclimatées ou reproduites artificiellement"
30,"CoP7","#5","CoP7 #5","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) tissue cultures and flasked seedling cultures; and<p>
c) separate leaves and parts and derivatives thereof of naturalized or artificially propagated <i>Aloe vera</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de tejido y los cultivos de plántulas en frascos; y<p>c) las hojas sueltas, y sus partes y derivados, de <i>Aloe vera</i> aclimatadas o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; <p>b) les cultures de tissus et les cultures de plantules en flacons; et <p>c) les feuilles détachées, et leurs parties et produits, d’<i>Aloe vera</i> acclimatées ou reproduites artificiellement"
30,"CoP7","#6","CoP7 #6","Designates all parts and derivatives, except:<p>
a) seeds and pollen (including pollinia); and<p>
b) tissue cultures and flasked seedling cultures;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives thereof of artificially propagated <i>Vanilla</i> spp.","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen (incluso las polinias);<p>b) los cultivos de tejido y los cultivos de plántulas en frascos;<p>c) los flores cortadas de ejemplares reproducidos artificialmente; y<p>d) los frutos, y sus partes y derivados, de <i>Vanilla</i> spp. reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen (y compris les pollinies); <p>b) les cultures de tissus et les cultures de plantules en flacons; <p>c) les fleurs coupées des plantes reproduites artificiellement; et <p>d) les fruits, et leurs parties et produits, de <i>Vanilla</i> spp. reproduites artificiellement"
31,"CoP8","#1","CoP8 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia); and<p>
b) tissue cultures and flasked seedling cultures<p>","Designa todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (incluso las polinias); y<p>b) los cultivos de tejido y los cultivos de plántulas en frascos","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies); et<p>b) les cultures de tissus et les cultures de plantules en flacons"
31,"CoP8","#2","CoP8 #2","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) tissue cultures and flasked seedling cultures; and<p>
c) chemical derivatives","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de tejido y los cultivos de plántulas en frascos; y<p>c) los derivados químicos","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de tissus et les cultures de plantules en flacons; et<p>c) les produits chimiques"
31,"CoP8","#3","CoP8 #3","Designates roots and readily recognizable parts thereof","Designa las raíces y a sus partes fácilmente identificables","Sert à désigner les racines et leurs parties facilement identifiables"
31,"CoP8","#4","CoP8 #4","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) tissue cultures and flasked seedling cultures;<p>
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated <i>Opuntia</i> subgenus <i>Opuntia</i> spp.","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de tejido y los cultivos de plántulas en frascos;<p>c) los frutos, y sus partes y derivados, de ejemplares aclimatados o reproducidos artificialmente; y<p>d) los elementos del tallo (ramificaciones), y sus partes y derivados, de plantas del género Opuntia<p>subgénero<i> Opuntia aclimatadas</i> o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de tissus et les cultures de plantules en flacons; <p>c) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et<p>d) les éléments de troncs (raquettes), et leurs parties et produits, de plantes du genre Opuntia sous-genre <i>Opuntia</i> acclimatées ou reproduites artificiellement"
31,"CoP8","#5","CoP8 #5","Designates saw-logs, sawn wood and veneers","Designa trozas para aserrar, madera aserrada y madera para chapas","Sert à désigner les bois pour sciage, les bois de sciage et les placages"
31,"CoP8","#6","CoP8 #6","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) tissue cultures and flasked seedling cultures; and<p>
c) separate leaves and parts and derivatives thereof of naturalized or artificially propagated <i>Aloe vera</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de tejido y los cultivos de plántulas en frascos; y<p>c) las hojas sueltas, y sus partes y derivados, de plantas de la especie <i>Aloe vera</i> aclimatadas o reproducidas<p>artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de tissus et les cultures de plantules en flacons; et<p>c) les feuilles détachées, et leurs parties et produits, de plantes de l'espèce Aloe vera acclimatées ou reproduites artificiellement"
31,"CoP8","#7","CoP8 #7","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) tissue cultures and flasked seedling cultures;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus <i>Vanilla</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen (incluso las polinias);<p>b) los cultivos de tejido y los cultivos de plántulas en frascos;<p>c) las flores cortadas de ejemplares reproducidos artificialmente; y<p>d) los frutos, y sus partes y derivados, de plantas del género <i>Vanilla</i> reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen (y compris les pollinies);<p>b) les cultures de tissus et les cultures de plantules en flacons; <p>c) les fleurs coupées des plantes reproduites artificiellement; et<p>d) les fruits, et leurs parties et produits, de plantes du genre <i>Vanilla</i> reproduites artificiellement"
32,"CoP9","#1","CoP9 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers","Designa todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (incluso las polinias); y<p>b) los cultivos de plántulas o tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines, les spores et le pollen (y compris les pollinies); et <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles"
32,"CoP9","#2","CoP9 #2","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and<p>
c) chemical derivatives","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de plántulas o tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; y <p>c) los derivados químicos","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; et <p>c) les produits chimiques"
32,"CoP9","#3","CoP9 #3","Designates roots and readily recognizable parts thereof","Designa las raíces y sus partes fácilmente identificables","Sert à désigner les racines et leurs parties facilement identifiables"
32,"CoP9","#4","CoP9 #4","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus <i>Opuntia</i> subgenus <i>Opuntia</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de plántulas o tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) los frutos, y sus partes y derivados, de ejemplares aclimatados o reproducidos artificialmente; y<p>d) los elementos del tallo (ramificaciones), y sus partes y derivados, de plantas del género <i>Opuntia</i> subgénero<i> Opuntia aclimatadas</i> o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; <p>c) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et <p>d) les éléments de troncs (raquettes), et leurs parties et produits, de plantes du genre Opuntia sous-genre <i>Opuntia</i> acclimatées ou reproduites artificiellement"
32,"CoP9","#5","CoP9 #5","Designates saw-logs, sawn wood and veneers","Designa trozas para aserrar, madera aserrada y chapas de madera","Sert à désigner les bois pour sciage, les bois de sciage et les placages"
32,"CoP9","#6","CoP9 #6","Designates logs, wood-chips and unprocessed broken material","Designa trozas, troceados de madera y material no elaborado","Sert à désigner les grumes, les copeaux et les matériaux déchiquetés non transformés"
32,"CoP9","#7","CoP9 #7","Designates all parts and derivatives, except:<p>
a) seeds and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus <i>Vanilla</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen (incluso las polinias);<p>b) los cultivos de plántulas o tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de ejemplares reproducidos artificialmente; y<p>d) los frutos, y sus partes y derivados, de plantas del género <i>Vanilla</i> reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen (y compris les pollinies); <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles;<p>c) les fleurs coupées des plantes reproduites artificiellement; et <p>d) les fruits, et leurs parties et produits, de plantes du genre <i>Vanilla</i> reproduites artificiellement"
32,"CoP9","#8","CoP9 #8","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>and
c) finished pharmaceutical products","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de plántulas o tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; y <p>c) los productos farmacéuticos elaborados","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines et le pollen; <p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; et <p>c) les produits pharmaceutiques finis"
33,"CoP10","#1","CoP10 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers; and<p>
c) cut flowers of artificially propagated plants","Designa todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (inclusive las polinias); y<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles; y<p>c) las flores cortadas de plantas reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; et <p>c) les fleurs coupées des plantes reproduites artificiellement"
33,"CoP10","#2","CoP10 #2","Designates all parts and derivatives, except:<p>
a) seeds and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) chemical derivatives","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente; y<p>d) los derivados químicos","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; <p>c) les fleurs coupées des plantes reproduites artificiellement; et <p>d) les produits chimiques"
33,"CoP10","#3","CoP10 #3","Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery","Designa raíces enteras o en rodajas o partes de raíces, excluidas las partes o derivados manufactura-dos, tales como polvos, pastillas, extractos, tónicos, tés y otros preparados","Sert à désigner les racines entières et tranchées et les parties de racines, à l'exception des parties et produits transformés, tels que poudres, pilules, extraits, toniques, tisanes et autres préparations"
33,"CoP10","#4","CoP10 #4","Designates all parts and derivatives, except:<p>
a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants;<p>
d) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
e) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated plants of the genus <i>Opuntia</i> subgenus <i>Opuntia</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas, excepto las de las cactáceas mexicanas originarias de México, y el polen;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente;<p>d) los frutos, y sus partes y derivados, de plantas aclimatadas o reproducidas artificialmente; y<p>e) los elementos del tallo (ramificaciones), y sus partes y derivados, de plantas del género <i>Opuntia</i> subgénero<i> Opuntia aclimatadas</i> o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, sauf celles des cactus mexicains provenant du Mexique, et le pollen;<p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles; <p>c) les fleurs coupées des plantes reproduites artificiellement;<p>d) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et<p>e) les éléments de troncs (raquettes), et leurs parties et produits, de plantes du genre Opuntia sous-genre <i>Opuntia</i> acclimatées ou reproduites artificiellement"
33,"CoP10","#5","CoP10 #5","Designates logs, sawn wood and veneer sheets","Designa trozas, madera aserrada y láminas de chapa de madera","Sert à désigner les grumes, les bois sciés et les placages"
33,"CoP10","#6","CoP10 #6","Designates logs, wood-chips and unprocessed broken material","Designa trozas, troceados de madera y material no elaborado","Sert à désigner les grumes, les copeaux et les matériaux déchiquetés non transformés"
33,"CoP10","#7","CoP10 #7","Designates all parts and derivatives, except:<p>
a) seeds and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits and parts and derivatives thereof of artificially propagated plants of the genus <i>Vanilla</i>","Designa todas las partes y derivados, excepto:<p>a) las semillas y el polen (inclusive las polinias);<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de ejemplares reproducidos artificialmente; y<p>d) los frutos, y sus partes y derivados, de plantas del género <i>Vanilla</i> reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen (y compris les pollinies);<p>b) les cultures de plantules ou de tissus obtenues in vitro, en milieu solide ou liquide, et transportées en conteneurs stériles;<p>c) les fleurs coupées des plantes reproduites artificiellement; et<p>d) les fruits, et leurs parties et produits, de plantes du genre <i>Vanilla</i> reproduites artificiellement"
