rank,rec_id,listing,effective_from,is_current,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,LegNotes,CMS instrument,Internal Notes
Species,6336,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,6415,I,01/01/1979,1,,,,,,,,CMS,
Species,6610,I,01/01/1979,1,,,,,,,Formerly listed as <i>Diomedea albatrus</i>.,CMS,
Species,6610,I,01/01/1979,1,,,,,,,,CMS,
Species,6610,ACAP,30/07/2009,1,,,,,,,,ACAP,
Species,6611,I,15/07/1997,1,,,,,,,,CMS,
Species,6611,ACAP,01/01/2007,1,,,,,,,,ACAP,
Species,6612,II,15/07/1997,1,,,,,,,,CMS,
Species,6612,ACAP,01/01/2007,1,,,,,,,,ACAP,
Species,6614,II,15/07/1997,1,,,,,,,,CMS,
Species,6615,II,15/07/1997,1,,,,,,,,CMS,
Species,6615,ACAP,01/01/2007,1,,,,,,,,ACAP,
Species,6617,II,15/07/1997,1,,,,,,,,CMS,
Species,6784,II,23/02/2012,1,,,,,,,,CMS,
Species,6909,II,01/01/1979,1,,,,,,,,CMS,
Species,6909,Dugong,01/01/2007,1,,,,,,,,Dugong,
Species,7072,I,01/01/1979,1,,,,,,,,CMS,
Species,7077,II,01/01/1994,1,,,,,,,,CMS,
Species,7077,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,7084,II,01/01/2001,1,,,,,,,Only African populations.,CMS,
Family,7201,II,01/11/1983,1,,,,,,,All migratory Cheloniidae spp.,CMS,
Family,7202,II,01/11/1983,1,,,,,,,All migratory Dermochelyidae spp.,CMS,
Species,7675,I,05/03/2009,1,,,,,,,,CMS,
Species,7910,EUROBATS,16/01/1994,1,,,,,,,,EUROBATS,
Species,7911,EUROBATS,16/01/1994,1,,,,,,,,EUROBATS,
Species,7915,EUROBATS,16/01/1994,1,,,,,,,,EUROBATS,
Species,7950,I,01/01/1979,1,,,,,,,,CMS,
Species,7951,II,23/12/2002,1,,,,,,,Includes <i>Equus onager</i>.,CMS,
Species,7953,II,23/12/2002,1,,,,,,,Formerly included in <i>Equus hemionus</i>.,CMS,
Species,8153,I,01/01/1979,1,,,,,,,"Initially included within <i>Eubalaena glacialis</i> (<i>sensu lato</i> ), and subsequently also listed as <i>Balaena glacialis australis</i>.",CMS,
Species,8154,I,01/01/1979,1,,,,,,,"North Atlantic. 

Initially listed as <i>Eubalaena glacialis</i> (<i>sensu lato</i> ), and subsequently also as <i>Balaena glacialis glacialis</i>.",CMS,
Species,8154,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
Species,8406,I,23/12/2002,1,,,,,,,,CMS,
Species,8449,I,23/02/2012,1,,,,,,,Excludes the population of Mongolia.,CMS,
Species,8449,II,01/01/1994,1,,,,,,,,CMS,
Species,8449,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,8464,I,15/07/1997,1,,,,,,,,CMS,
Species,8464,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,8478,I,23/02/2012,1,,,,,,,,CMS,
Species,8478,II,01/01/1994,1,,,,,,,,CMS,
Species,8478,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,8551,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Subspecies,8698,II,01/01/1994,1,,,,,,,Mediterranean and Black Sea populations.,CMS,
Species,8958,II,01/01/1994,1,,,,,,,Western Palearctic populations.,CMS,
Species,8958,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,8962,II,01/01/1994,1,,,,,,,Western Palearctic populations.,CMS,
Species,8962,AEWA,01/11/1999,1,,,,,,,,AEWA,
Subspecies,8963,II,01/01/1994,1,,,,,,,,CMS,
Subspecies,8964,II,01/01/1994,1,,,,,,,,CMS,
Subspecies,8965,II,01/01/1994,1,,,,,,,Northwest European population.,CMS,
Species,8966,I,01/11/1983,1,,,,,,,,CMS,
Species,8967,I,01/01/1979,1,,,,,,,,CMS,
Species,8968,I,01/01/1979,1,,,,,,,Formerly listed as <i>Gazella dama_,CMS,
Species,8969,I,01/01/1979,1,,,,,,,Only Northwest African populations.,CMS,
Species,8970,II,01/01/1979,1,,,,,,,Only Asian populations.,CMS,
Species,8972,I,24/01/1986,1,,,,,,,,CMS,
Species,8976,II,23/12/2002,1,,,,,,,,CMS,
Species,9157,II,01/01/1994,1,,,,,,,,CMS,
Species,9157,I,01/01/1979,1,,,,,,,,CMS,
Species,9157,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,9203,II,24/01/1986,1,,,,,,,,CMS,
Species,9203,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,9204,II,24/01/1986,1,,,,,,,,CMS,
Species,9204,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,9249,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,9250,II,12/01/1989,1,,,,,,,Only North Sea and Baltic Sea popns.,CMS,
Species,9250,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
Species,9250,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,9404,I,01/01/1979,1,,,,,,,,CMS,
Species,9404,Gorillas,01/01/2008,1,,,,,,,,Gorillas,
Subspecies,9405,I,01/01/1979,1,,,,,,,N.B. Superseded on 23/02/06 by inclusion in Appendix I of entire taxon <i>Gorilla gorilla</i> (<i>sensu lato</i> ).,CMS,
Subspecies,9406,Gorillas,01/01/2008,1,,,,,,,,Gorillas,
Species,9409,I,23/12/2002,1,,,,,,,,CMS,
Species,9461,II,05/03/2009,1,,,,,,,All populations,CMS,
Species,9461,II,12/01/1989,1,,,,,,,North Sea and Baltic Sea populations,CMS,
Species,9461,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
Species,9461,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,9520,I,01/01/1979,1,,,,,,,,CMS,
Species,9521,I,01/01/1979,1,,,,,,,,CMS,
Species,9521,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,9521,Siberian Crane,01/01/1999,1,,,,,,,,Siberian Crane,
Species,9522,I,23/12/2002,1,,,,,,,,CMS,
Species,9523,I,01/01/1979,1,,,,,,,,CMS,
Species,9526,I,23/12/2002,1,,,,,,,,CMS,
Species,9646,I,24/01/1986,1,,,,,,,,CMS,
Species,9646,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,9649,I,23/12/2002,1,,,,,,,,CMS,
Species,9649,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,9650,I,01/01/1979,1,,,,,,,,CMS,
Species,9650,Raptors,01/01/2008,1,,,,,,,,Raptors,
Species,9660,II,24/01/1986,1,,,,,,,Only Baltic Sea populations,CMS,
Species,10054,I,15/07/1997,1,,,,,,,,CMS,
Species,10198,I,15/07/1997,1,,,,,,,,CMS,
Species,10198,II,15/07/1997,1,,,,,,,,CMS,
Species,10268,II,14/02/2000,1,,,,,,,,CMS,
Species,10269,II,14/02/2000,1,,,,,,,,CMS,
Species,10707,II,12/12/1991,1,,,,,,,,CMS,
Species,10707,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,10831,II,12/12/1991,1,,,,,,,,CMS,
Species,10896,II,01/01/1994,1,,,,,,,"Subspecies <i>minutus</i> only. Western Palearctic populations.

",CMS,
Species,10896,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,10897,II,01/01/1994,1,,,,,,,,CMS,
Species,10897,AEWA,01/11/1999,1,,,,,,,,AEWA,
Subspecies,10899,II,01/01/1994,1,,,,,,,Western Palearctic populations.,CMS,
Species,11047,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,11048,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,11140,II,01/01/1979,1,,,,,,,Southeast Asian populations.,CMS,
Species,11141,II,12/01/1989,1,,,,,,,Only North Sea and Baltic Sea popns,CMS,
Species,11141,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,11142,II,12/01/1989,1,,,,,,,Only North Sea and Baltic Sea popns,CMS,
Species,11142,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,11143,II,12/12/1991,1,,,,,,,,CMS,
Species,11146,II,01/01/1979,1,,,,,,,,CMS,
Species,11200,II,05/03/2009,1,,,,,,,,CMS,
Species,11309,I,15/07/1997,1,,,,,,,,CMS,
Species,11311,II,01/01/1994,1,,,,,,,,CMS,
Species,11311,I,01/01/1979,1,,,,,,,,CMS,
Species,11311,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,11318,II,01/01/1994,1,,,,,,,,CMS,
Species,11318,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,11321,II,01/01/1994,1,,,,,,,West Eurasian and African population.,CMS,
Species,11321,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,11322,II,01/01/1994,1,,,,,,,,CMS,
Species,11322,I,24/01/1986,1,,,,,,,,CMS,
Species,11322,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,11324,II,01/01/1994,1,,,,,,,,CMS,
Species,11324,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,11328,I,01/01/1979,1,,,,,,,,CMS,
Species,11330,I,01/01/1979,1,,,,,,,,CMS,
Species,11334,II,01/01/1994,1,,,,,,,,CMS,
Species,11334,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,11335,II,01/01/1994,1,,,,,,,,CMS,
Species,11335,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,12392,II,01/01/1979,1,,,,,,,,CMS,
Species,12392,West African Elephants,01/01/2005,1,,,,,,,,West African Elephants,
Species,12436,II,05/03/2009,1,,,,,,,,CMS,
Species,12603,II,14/02/2000,1,,,,,,,,CMS,
Species,12603,ACAP,01/01/2007,1,,,,,,,,ACAP,
Species,12811,I,15/07/1997,1,,,,,,,,CMS,
Species,12811,AEWA,01/11/1999,1,,,,,,,,AEWA,
Species,13006,I,01/01/1979,1,,,,,,,,CMS,
Species,13006,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
Species,13176,II,24/01/1986,1,,,,,,,,CMS,
Species,13241,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
Species,13244,ACCOBAMS,01/06/2001,1,,,,,,,,ACCOBAMS,
Species,13244,ASCOBANS,29/03/1994,1,,,,,,,"ASCOBANS covers all species, subspecies or populations of toothed whales in the agreement area except for the sperm whale (<i>Physeter macrocephalus</i>).  

As of 3 February 2008 the ASCOBANS Area has been extended as follows: 

The marine environment of the Baltic and North Seas and contiguous area of the North East Atlantic, as delimited by the shores of the Gulfs of Bothnia and Finland; to the south-east by latitude 36°N, where this line of latitude meets the line joining the lighthouses of Cape St. Vincent (Portugal) and Casablanca (Morocco); to the south-west by latitude 36°N and longitude 15°W; to the north-west by longitude 15° and a line drawn through the following points: latitude 59°N/longitude 15°W, latitude 60°N/longitude 05°W, latitude, 61°N/longitude 4W;latitude 62N/ longitude 3W; to the north by latitude 62°N; and including the Kattegat and the Sound and Belt passages.",ASCOBANS,
