DscRecID,Full_citation,Authors,Year,Title,Source,Volume,Number,Publisher,PubPlace,Pagination
614,"Cramp, S. and Simmons, K. E. L (eds.) 1980. Handbook of the birds of Europe, the Middle East and North Africa: the birds of the Western Palearctic. Volume 2. Oxford University Press. Oxford.","Cramp, S. and Simmons, K. E. L (eds.)",1980,"Handbook of the birds of Europe, the Middle East and North Africa: the birds of the Western Palearctic. Volume 2.",,,,Oxford University Press.,Oxford,
612,"Cramp, S. and Simmons, K. E. L (eds.) 1983. Handbook of the birds of Europe, the Middle East and North Africa: the birds of the Western Palearctic. Volume 3. Oxford University Press. Oxford.","Cramp, S. and Simmons, K. E. L (eds.)",1983,"Handbook of the birds of Europe, the Middle East and North Africa: the birds of the Western Palearctic. Volume 3.",,,,Oxford University Press.,Oxford,
3263,"Daniel, J. C. 1983. The book of Indian reptiles. Bombay Natural History Society. Bombay.","Daniel, J. C.",1983,The book of Indian reptiles.,,,,Bombay Natural History Society.,Bombay,
666,"Dybbro, T. 1978. Oversigt over Danmarks fugle. Dansk Ornithologisk Forening. Denmark.","Dybbro, T.",1978,Oversigt over Danmarks fugle.,,,,Dansk Ornithologisk Forening.,Denmark,
740,"Genot, J.-C. 1989. _Athene noctua_, world bibliography.","Genot, J.-C.",1989,"_Athene noctua_, world bibliography.",,,,,,
5251,"Keith, A. R. 1997. The birds of St Lucia: an annotated checklist. BOU Checklist No. 15. British Ornithologists' Union. Tring.","Keith, A. R.",1997,The birds of St Lucia: an annotated checklist.,,,,BOU Checklist No. 15. British Ornithologists' Union.,Tring,
1117,"Olson, P. D., Crome, F. and Olson, J. 1993. Birds of prey and ground birds of Australia. Australian Museum and Angus & Robertson. Sydney.","Olson, P. D., Crome, F. and Olson, J.",1993,Birds of prey and ground birds of Australia.,,,,Australian Museum and Angus & Robertson.,Sydney,
5080,"Pulido, V. 1991. El libro rojo de la fauna silvestre del Peru. Instituto Nacional de Investigacion Agraria y Agroindustrial (INDIAA), WWF and US Fish & Wildlife Service. Lima, Peru.","Pulido, V.",1991,El libro rojo de la fauna silvestre del Peru.,,,,"Instituto Nacional de Investigacion Agraria y Agroindustrial (INDIAA), WWF and US Fish & Wildlife Service.","Lima, Peru",
12222,RSFSR. 1983. [Red Data Book of the RSFSR (animals).]. Rosselkhozizdat Publishing House. Moscow.,RSFSR.,1983,[Red Data Book of the RSFSR (animals).].,,,,Rosselkhozizdat Publishing House.,Moscow,
2547,"Rylands, A. B. 1993. Marmosets and tamarins: systematics, behaviour and ecology. Oxford University Press.","Rylands, A. B.",1993,"Marmosets and tamarins: systematics, behaviour and ecology.",,,,Oxford University Press.,,
3625,"Salvador, A. 1986. _Podarcis lilfordi_ (Günther, 1874) - Balearen-Eidechse. In: Böhme, W. (ed.) Handbuch der Reptilien und Amphibien Europas. Band 2/II. Echsen (Sauria) III. AULA-Verlag. Wiesbaden.","Salvador, A.",1986,"_Podarcis lilfordi_ (Günther, 1874 - Balearen-Eidechse.","In: Böhme, W. (ed.) Handbuch der Reptilien und Amphibien Europas. Band 2/II. Echsen (Sauria) III. ",,,AULA-Verlag.,Wiesbaden,83-110
12226,"Scott, D. A. and Rose, P. M. 1996. Atlas of Anatidae populations in Africa and western Eurasia. Wetlands International.","Scott, D. A. and Rose, P. M.",1996,Atlas of Anatidae populations in Africa and western Eurasia.,,,,Wetlands International.,,
2774,"Watson, L. 1981. Sea guide to whales of the world. Hutchinson. London.","Watson, L.",1981,Sea guide to whales of the world.,,,,Hutchinson.,London,
374,"Abdusalyamov, I. A. 1977. [Fauna of the Tadjik Soviet Socialistic Republic: birds.]. Donish. Dushanbe.","Abdusalyamov, I. A.",1977,[Fauna of the Tadjik Soviet Socialistic Republic: birds.].,,19,3,Donish.,Dushanbe,
3124,"Abercrombie, C. L., Hope, J. A., Holmes, J. M., Scott, D., and Lane, J. E. 1982. Investigations into the status of Morelet's crocodile (_Crocodylus moreletii_) in Belize, 1980. In: Crocodiles. Proceedings of the 5th Working Meeting of the Crocodile Specialist Group of the Species Survival Commission of the International Union for Conservation of Nature and Natural Resources IUCN.","Abercrombie, C. L., Hope, J. A., Holmes, J. M., Scott, D., and Lane, J. E.",1982,"Investigations into the status of Morelet's crocodile (_Crocodylus moreletii_) in Belize, 1980.",In: Crocodiles. Proceedings of the 5th Working Meeting of the Crocodile Specialist Group of the Species Survival Commission of the International Union for Conservation of Nature and Natural Resources,,,IUCN.,,
376,"Achaval, F. 1989. Lista de especies de vertebratos del Uruguay. Parte 2: Anfibios, reptiles aves y mamíferos. Facultad de Humanidades y Ciencias, Universidad de la Republica, Uruguay.","Achaval, F.",1989,"Lista de especies de vertebratos del Uruguay. Parte 2: Anfibios, reptiles aves y mamíferos.",,,,"Facultad de Humanidades y Ciencias, Universidad de la Republica, Uruguay.",,
11496: 5240,"Adamian, M. S. and Klem, D. Jr. 1997. A field guide to birds of Armenia. American University of Armenia.","Adamian, M. S. and Klem, D. Jr.",1997,A field guide to birds of Armenia.,,,,American University of Armenia.,,
27785,"Alberts A.C., Carter R.L., Hayes W.K. and Martins E.P (eds.) 2004. Iguanas: Biology and Conservation. University of California Press. Berkley and Los Angeles, California.","Alberts A.C., Carter R.L., Hayes W.K. and Martins E.P (eds.)",2004,Iguanas: Biology and Conservation.,,,,University of California Press.,"Berkley and Los Angeles, California.",
5235,"Alberts, A. (comp.) 1999. West Indian Iguanas: Status Survey and Conservation Action Plan. IUCN/SSC West Indian Iguana Specialist Group. IUCN, Gland, Switzerland and Cambridge, UK.","Alberts, A. (comp.)",1999,West Indian Iguanas: Status Survey and Conservation Action Plan.,,,,IUCN/SSC West Indian Iguana Specialist Group.,"IUCN, Gland, Switzerland and Cambridge, UK.",
1469,"Albignac, R. 1987. Priorités dans la conservation des mammifères non Primates de Madagascar. In: Anon. Priorités en matière de conservation des espèces à Madagascar. IUCN. Gland.","Albignac, R.",1987,Priorités dans la conservation des mammifères non Primates de Madagascar.,In: Anon. Priorités en matière de conservation des espèces à Madagascar. ,,,IUCN.,Gland,
5098,"Alcala, A. C. 1986. Guide to Philippine flora and fauna: amphibians and reptiles. Natural Resources Management Center, Ministry of Natural Resources and University of the Philippines. Quezon City.","Alcala, A. C.",1986,Guide to Philippine flora and fauna: amphibians and reptiles.,,,,"Natural Resources Management Center, Ministry of Natural Resources and University of the Philippines.",Quezon City,
3814,"Alcock, A. W. 1898. An account of the deep-sea Madreporaria collected by the Royal Indian Marine Survey Ship 'Investigator'. Trustees of the Indian Museum. Calcutta.","Alcock, A. W.",1898,An account of the deep-sea Madreporaria collected by the Royal Indian Marine Survey Ship 'Investigator'.,,,,Trustees of the Indian Museum.,Calcutta,
381,"Ali, S. and Ripley, S. D. 1987. Compact handbook of the birds of India and Pakistan together with those in Bangladesh, Nepal, Bhutan and Sri Lanka. Oxford University Press. Oxford.","Ali, S. and Ripley, S. D.",1987,"Compact handbook of the birds of India and Pakistan together with those in Bangladesh, Nepal, Bhutan and Sri Lanka.",,,,Oxford University Press.,Oxford,
382,"Ali, S., Daniel, J. C. and Rahmani, A. R. 1986. Study of ecology of certain endangered species of wildlife and their habitats. The Floricans. Annual Report 1. Bombay Natural History Society. Bombay.","Ali, S., Daniel, J. C. and Rahmani, A. R.",1986,Study of ecology of certain endangered species of wildlife and their habitats.,The Floricans. Annual Report 1. ,,,Bombay Natural History Society.,Bombay,
29008,"Alipour, S. 2008. Atlas of the Urmia Lake National Park. Department of the Environment - West Azarbaijan Provincial Directory of Environmental Protection. Islamic Republic of Iran.","Alipour, S.",2008,Atlas of the Urmia Lake National Park.,,,,Department of the Environment - West Azarbaijan Provincial Directory of Environmental Protection.,Islamic Republic of Iran,
1475,"Allen, G. M. and Coolidge, H. J. 1930. Mammals of Liberia. In: Strong, R. P. The African Republic of Liberia and the Belgian Congo. Harvard University Press. Cambridge, Mass.","Allen, G. M. and Coolidge, H. J.",1930,Mammals of Liberia.,"In: Strong, R. P. The African Republic of Liberia and the Belgian Congo. ",,,Harvard University Press.,"Cambridge, Mass.",
28517,"Allison, A. 2006. Reptiles and amphibians of the Trans-Fly region, New Guinea. Pacific Biological Survey.","Allison, A.",2006,"Reptiles and amphibians of the Trans-Fly region, New Guinea.",,,,Pacific Biological Survey.,,
4654,"Alloiteau, J. 1957. Contribution à la systematique des Madréporaires fossiles, I (Texte).","Alloiteau, J.",1957,"Contribution à la systematique des Madréporaires fossiles, I (Texte).",,,,,,462 pp.
3128,"Amaral, A. do. 1977. Serpentes do Brasil: iconografia colorida. Universidade do Sao Paulo.","Amaral, A. do.",1977,Serpentes do Brasil: iconografia colorida.,,,,Universidade do Sao Paulo.,,
11498,American Ornithologists' Union [AOU]. 1998. Check-list of North American birds.,American Ornithologists' Union [AOU].,1998,Check-list of North American birds.,,,,,,
387,American Ornithologists' Union. 1983. Checklist of North American birds. Sixth edition. American Ornithologists' Union. New York.,American Ornithologists' Union.,1983,Checklist of North American birds. Sixth edition.,,,,American Ornithologists' Union.,New York,
28428,"Amirkhanov, A.M. (Ed.). 1987. Amphibians and reptiles in protected areas. Moscow.","Amirkhanov, A.M. (Ed.).",1987,Amphibians and reptiles in protected areas.,,,,,Moscow,
389,"Amos, E. J. R. 1991. A guide to the birds of Bermuda. Eric J. R. Amos. Warwick, Bermuda.","Amos, E. J. R.",1991,A guide to the birds of Bermuda.,,,,Eric J. R. Amos.,"Warwick, Bermuda",
28825,"Amr, Z. S. 2000. Jordan Country Study on Biological Diversity: Mammals of Jordan. United Nations Environment Program.","Amr, Z. S.",2000,Jordan Country Study on Biological Diversity: Mammals of Jordan.,,,,United Nations Environment Program.,,
1478,"Amstrup, S. C. and Wiig, O. 1991. Polar Bears. Proceedings of the Tenth Working Meeting of the IUCN/SSC Polar Bear Specialist Group, October 25-29, 1988, Sochi, USSR. IUCN. Gland.","Amstrup, S. C. and Wiig, O.",1991,Polar Bears.,"Proceedings of the Tenth Working Meeting of the IUCN/SSC Polar Bear Specialist Group, October 25-29, 1988, Sochi, USSR. ",,,IUCN.,Gland,
9067,"Amtmann, E. 1975. Family Sciuridae. Part 6.1 of J. Meester and H. W. Setzer (eds.) The mammals of Africa, an identification manual. Smithsonian Institution Press. Washington.","Amtmann, E.",1975,Family Sciuridae.,"Part 6.1 of J. Meester and H. W. Setzer (eds.) The mammals of Africa, an identification manual.",,,Smithsonian Institution Press.,Washington,
29417,"Ananjeva, N.B., Orlov, N.L., Khalikov, R.G., Darevsky, I.S., Ryabov, S.A. and Barabanov, A.V. 2006. The reptiles of northern Eurasia: taxonomic diversity, distribution, conservation status. Pensoft Series Faunistica No 47 Zoological Institute, Russian Academy of Sciences.","Ananjeva, N.B., Orlov, N.L., Khalikov, R.G., Darevsky, I.S., Ryabov, S.A. and Barabanov, A.V.",2006,"The reptiles of northern Eurasia: taxonomic diversity, distribution, conservation status.",Pensoft Series Faunistica No 47,,,"Zoological Institute, Russian Academy of Sciences.",,
393,"Andrew, P. 1992. The birds of Indonesia: a checklist (Peters' sequence). Indonesian Ornithological Society. Jakarta.","Andrew, P.",1992,The birds of Indonesia: a checklist (Peters' sequence).,,,,Indonesian Ornithological Society.,Jakarta,
395,"Andrews, I. J. 1995. The birds of the Hashemite Kingdom of Jordan. Published by the author. Musselburgh, U.K.","Andrews, I. J.",1995,The birds of the Hashemite Kingdom of Jordan.,,,,Published by the author.,"Musselburgh, U.K",
12465,"Andrews, I.J. 1995. The birds of the Hashemite Kingdom of Jordan. Andrews, I.J. Musselburgh, U.K.","Andrews, I.J.",1995,The birds of the Hashemite Kingdom of Jordan.,,,,"Andrews, I.J.","Musselburgh, U.K.",
3132,Anon. (multiple authors and editors). 1985. Atlas of Chinese snakes. Technical Publishing House of Shanghai University. Shanghai.,Anon. (multiple authors and editors).,1985,Atlas of Chinese snakes.,,,,Technical Publishing House of Shanghai University.,Shanghai,
2850,"Anon. 1974. Endangered wild animals in Ohio. Ohio Department of Natural Resources, Division of Wildlife.",Anon.,1974,Endangered wild animals in Ohio.,,,,"Ohio Department of Natural Resources, Division of Wildlife.",,
3760,Anon. 1978. Red data book: Mammalia. IUCN. Morges.,Anon.,1978,Red data book: Mammalia.,,,,IUCN.,Morges,
3131,Anon. 1979. Reptiles and amphibians of the Bahamas. Bahamas National Trust.,Anon.,1979,Reptiles and amphibians of the Bahamas.,,,,Bahamas National Trust.,,
1496,Anon. 1980. A world review of the Cetacea. Nature Conservancy Council. Peterborough.,Anon.,1980,A world review of the Cetacea.,,,,Nature Conservancy Council.,Peterborough,
1497,"Anon. 1981. Afghanistan. A contribution to a conservation strategy. Volume II: Appendixes. UNDP/FAO/National Parks and Wildlife Management Afghanistan. FO:DP/AFG/78/007 Technical Report, Vol. Rome.",Anon.,1981,Afghanistan. A contribution to a conservation strategy. Volume II: Appendixes.,,II,,"UNDP/FAO/National Parks and Wildlife Management Afghanistan. FO:DP/AFG/78/007 Technical Report, Vol.",Rome,
1498,Anon. 1981. Rare and endangered animals of India. Government of India.,Anon.,1981,Rare and endangered animals of India.,,,,Government of India.,,
1503,Anon. 1983. Inventaire des resources en faune sauvage et étude economique sur son utilisation en zone rurales Haute-Volta. UNDP/FAO. Rome.,Anon.,1983,Inventaire des resources en faune sauvage et étude economique sur son utilisation en zone rurales Haute-Volta.,,,,UNDP/FAO.,Rome,
1506,Anon. 1984. Conservacionismo en Espana. Secretaria General técnica. (MOPU). Servicio de publicaciones .,Anon.,1984,Conservacionismo en Espana.,Secretaria General técnica. (MOPU). Servicio de publicaciones,,,,,40-42
3135,Anon. 1984. Red Data Book of USSR. (2nd revised edtion). Lesnaya Promyshlennos. Moscow.,Anon.,1984,Red Data Book of USSR. (2nd revised edtion)., ,,,Lesnaya Promyshlennos.,Moscow,
1523,"Anon. 1988. Mamiferos de Venezuela. Lista y claves para su identificación. Universidad Central de Venezuela, Facultad de Agronomia/Museo del Instituto de Zoologia Agricola. Maracay, Venezuela.",Anon.,1988,Mamiferos de Venezuela. Lista y claves para su identificación.,,,,"Universidad Central de Venezuela, Facultad de Agronomia/Museo del Instituto de Zoologia Agricola.","Maracay, Venezuela",
2855,Anon. 1991. European Red List of globally threatened animals and plants. E/ECE/1249/ECE/ENVWA/20 European Commission for Europe. Geneva.,Anon.,1991,European Red List of globally threatened animals and plants.,E/ECE/1249/ECE/ENVWA/20 ,,,European Commission for Europe.,Geneva,
6986,"Anon. 1995. Lista de las aves de Bolivia. Asociación Armonía. Santa Cruz, Bolivia.",Anon.,1995,Lista de las aves de Bolivia.,,,,Asociación Armonía.,"Santa Cruz, Bolivia",
28076,"Anon. 2003. The red data book of the Republic of Uzbekistan, Volume II, Animals. Chinor, ENK. Tashkent.",Anon.,2003,"The red data book of the Republic of Uzbekistan, Volume II, Animals.",,,,"Chinor, ENK.",Tashkent,238
26162,Anon. 2004. A list of hermatypic corals in Japan. Appendix 4 in The Japanese Coral Reef Society & Ministry of the Environment (eds.) Coral reefs of Japan Ministry of the Environment. Tokyo.,Anon.,2004,A list of hermatypic corals in Japan.,Appendix 4 in The Japanese Coral Reef Society & Ministry of the Environment (eds.) Coral reefs of Japan,,,Ministry of the Environment.,Tokyo,
1540,"Ansell, W. F. H. 1978. The mammals of Zambia. National Parks and Wildlife Service. Chilanga.","Ansell, W. F. H.",1978,The mammals of Zambia.,,,,National Parks and Wildlife Service.,Chilanga,
1543,"Ansell, W. F. H. and Dowsett, R. J. 1988. Mammals of Malawi - an annotated checklist and atlas. Trendrine Press. St. Ives, Cornwall.","Ansell, W. F. H. and Dowsett, R. J.",1988,Mammals of Malawi - an annotated checklist and atlas.,,,,Trendrine Press.,"St. Ives, Cornwall",
26717,"Aoki, T., Yamaguchi, S., Uémura, Y., Nishizawa, T and Ohtsuka, K. 1998. Birdwing Butterflies. The World of Birwing Butterflies Shinzansha. Tokyo.","Aoki, T., Yamaguchi, S., Uémura, Y., Nishizawa, T and Ohtsuka, K.",1998,Birdwing Butterflies.,The World of Birwing Butterflies,,,Shinzansha.,Tokyo,104
12528,AOU ( American Ornithologists' Union ). 1998. Checklist of North American birds.7th edition. American Ornithologists' Union. Washington D.C.,AOU ( American Ornithologists' Union ).,1998,Checklist of North American birds.7th edition.,,,,American Ornithologists' Union.,Washington D.C.,
7857,"Araújo, A. M. P. de. 1994. A importância ornitológica da Região da Cufada na Guiné-Bissau. ICN (Estud. de Biol. e Conserv. da Natureza 13). Lisbon.","Araújo, A. M. P. de.",1994,A importância ornitológica da Região da Cufada na Guiné-Bissau.,,,,ICN (Estud. de Biol. e Conserv. da Natureza 13).,Lisbon,
416,"Araya Modinger, B. 1983. A preliminary report on the status and distribution of the Humboldt Penguin in Chile. Pp. 125-140 In: Proceedings of the Jean Delacour/IFCB Symposium on breeding birds in captivity. North Hollywood, California: International Foundation for the Conservation of Birds .","Araya Modinger, B.",1983,A preliminary report on the status and distribution of the Humboldt Penguin in Chile.,"Pp. 125-140 In: Proceedings of the Jean Delacour/IFCB Symposium on breeding birds in captivity. North Hollywood, California: International Foundation for the Conservation of Birds",,,,,
5292,"Araya, B. and Chester, S. 1993. The birds of Chile: a field guide.","Araya, B. and Chester, S.",1993,The birds of Chile: a field guide.,,,,,,
415,"Araya, L. 1982. Lista patron de las aves Chilenas. Publicaciones ocasionales No. Instituto de Oceanologica, Universidad de Valparaiso, Vina del Mar, Chile.","Araya, L.",1982,Lista patron de las aves Chilenas.,Publicaciones ocasionales No.,,1,"Instituto de Oceanologica, Universidad de Valparaiso, Vina del Mar, Chile.",,
5287,"Arballo, E. and Cravino, J. L. 1999. Aves del Uruguay. Manual Ornitológico/Handbook of the birds of Uruguay, Vol. 1. Editorial Hemisterio sur, S.R.L. Montevideo.","Arballo, E. and Cravino, J. L.",1999,"Aves del Uruguay. Manual Ornitológico/Handbook of the birds of Uruguay, Vol. 1.",,,,"Editorial Hemisterio sur, S.R.L.",Montevideo,
3747,"Archer, G. and Godman, E. M. 1937. The birds of British Somaliland and the Gulf of Aden. Volumes 1 and 2. Gurney and Jackson. London.","Archer, G. and Godman, E. M.",1937,The birds of British Somaliland and the Gulf of Aden. Volumes 1 and 2.,,,,Gurney and Jackson.,London,
3748,"Archer, G. and Godman, E. M. 1961. The birds of British Somaliland and the Gulf of Aden. Volumes 3 and 4. Oliver and Boyd. Edinburgh.","Archer, G. and Godman, E. M.",1961,The birds of British Somaliland and the Gulf of Aden. Volumes 3 and 4.,,,,Oliver and Boyd.,Edinburgh,
6841,"Arndt, T. 1995. Lexicon of parrots. Part 7. Arndt Verlag. Bretten, Germany.","Arndt, T.",1995,Lexicon of parrots. Part 7.,,,,Arndt Verlag.,"Bretten, Germany",
2858,"Arndt, W. 1940. Als Heilmottel gebrauchte Stoffe Q. Blutegel. Die Rohstoffe des Tierreiches Q. Berlin. Pp. 524-573 .","Arndt, W.",1940,Als Heilmottel gebrauchte Stoffe Q.,Blutegel. Die Rohstoffe des Tierreiches Q. Berlin. Pp. 524-573,,,,,
5252,"Ash, J. S. and Miskell, J. E. 1998. Birds of Somalia. Pica Press. Sussex.","Ash, J. S. and Miskell, J. E.",1998,Birds of Somalia.,,,,Pica Press.,Sussex,
1550,"Asibey, E. O. A. 1972. The present status of wildlife conservation in Ghana. In: Happold, D. C. D. (ed.), Wildlife conservation in West Africa. IUCN New Series 22 Morges.","Asibey, E. O. A.",1972,The present status of wildlife conservation in Ghana.,"In: Happold, D. C. D. (ed.), Wildlife conservation in West Africa. IUCN New Series 22",,,,Morges,
1551,"Asibey, E. O. A. 1978. Primate conservation in Ghana. In: Chivers, D. J. and Lane-Petter, W. (eds) Recent advances in primatology, vol. 2, conservation. Academic Press. London.","Asibey, E. O. A.",1978,Primate conservation in Ghana.,"In: Chivers, D. J. and Lane-Petter, W. (eds) Recent advances in primatology, vol. 2, conservation. ",,,Academic Press.,London,55-74.
5054,"Atamuradov, Kh. I., Aranbaev, A. M. and Pereladova, O. B (eds.) 1997. Conserving biodiversity of Central Asia: Turkmenistan. Ministry of Nature Conservation and Management of Turkmenistan. Ashkabad.","Atamuradov, Kh. I., Aranbaev, A. M. and Pereladova, O. B (eds.)",1997,Conserving biodiversity of Central Asia: Turkmenistan.,,,,Ministry of Nature Conservation and Management of Turkmenistan.,Ashkabad,
3824,"Audouin, V. 1828. Explication sommaire des planches de Polypes. In J. C. Savigny, Description de l'Egypte .","Audouin, V.",1828,Explication sommaire des planches de Polypes.,"In J. C. Savigny, Description de l'Egypte",1,4,,,
3146,"Auerbach, R. D. 1985. The reptiles of Gaborone. Botswana Book Centre. Gaborone.","Auerbach, R. D.",1985,The reptiles of Gaborone.,,,,Botswana Book Centre.,Gaborone,
3147,"Auerbach, R. D. 1987. The amphibians and reptiles of Botswana. Mokwepa Consultants (Pty) Ltd. Gaborone.","Auerbach, R. D.",1987,The amphibians and reptiles of Botswana.,,,,Mokwepa Consultants (Pty) Ltd.,Gaborone,
3149,"Auffenberg, W. 1981. The Komodo Monitor. University Press of Florida. Gainesville.","Auffenberg, W.",1981,The Komodo Monitor.,,,,University Press of Florida.,Gainesville,
3151,"Auffenberg, W. 1988. Gray's Monitor Lizard. University Press of Florida. Gainesville.","Auffenberg, W.",1988,Gray's Monitor Lizard.,,,,University Press of Florida.,Gainesville,
3154,"Auffenberg, W. J. 1982. Feeding strategy of the Caicos Ground Iguana, _Cyclura carinata_. In: Burghardt, G. M. and Rand, A. S. (eds) Iguanas of the world. Noyes Publications. New Jersey.","Auffenberg, W. J.",1982,"Feeding strategy of the Caicos Ground Iguana, _Cyclura carinata_.","In: Burghardt, G. M. and Rand, A. S. (eds) Iguanas of the world.",,,Noyes Publications.,New Jersey,
3152,"Auffenberg, W., and Franz, R. 1982. The status and distribution of the Gopher Tortoise (_Gopherus polyphemus_). In: Bury, R. B. (ed.) North American tortoises: conservation and ecology. USDI Fish and Wildlife Service, Wildlife Research Report.","Auffenberg, W., and Franz, R.",1982,The status and distribution of the Gopher Tortoise (_Gopherus polyphemus_).,"In: Bury, R. B. (ed.) North American tortoises: conservation and ecology. ",,12,"USDI Fish and Wildlife Service, Wildlife Research Report.",,95-126.
29090,"Auliya, M. 2007. An identification guide to the tortoises and freshwater turtles of Brunei Darussalam, Indonesia, Malaysia, Papua New Guinea, Philippines, Singapore and Timor Leste. TRAFFIC Southeast Asia Petaling Jaya, Malaysia.","Auliya, M.",2007,"An identification guide to the tortoises and freshwater turtles of Brunei Darussalam, Indonesia, Malaysia, Papua New Guinea, Philippines, Singapore and Timor Leste.",TRAFFIC Southeast Asia,,,,"Petaling Jaya, Malaysia",
26842,"Auliya, M.A. 2005. Giant Reptiles in West Kalimantan. Natur und Tier-Verlag.","Auliya, M.A.",2005,Giant Reptiles in West Kalimantan.,,,,Natur und Tier-Verlag.,,432
29557,"Backhurst, G.C., Britton, H.A., Diamond, A.W., Gerhart, J.D., Mann, C.F., Meadows, B.S., Pearson, D.J., Reynolds, J.F. and Turner, D.A. 1980. Birds of East Africa - their habitat, status and distribution. East African Natural History Society. Nairobi, Kenya.","Backhurst, G.C., Britton, H.A., Diamond, A.W., Gerhart, J.D., Mann, C.F., Meadows, B.S., Pearson, D.J., Reynolds, J.F. and Turner, D.A.",1980,"Birds of East Africa - their habitat, status and distribution.",,,,East African Natural History Society.,"Nairobi, Kenya",
3155,"Bacon, P., Berry, F., Bjorndal, K., Hirth, H., Ogren, L., and Weber, M (eds.) 1984. Proceedings of the Western Atlantic Turtle Symposium. The University of Miami Press. Miami.","Bacon, P., Berry, F., Bjorndal, K., Hirth, H., Ogren, L., and Weber, M (eds.)",1984,Proceedings of the Western Atlantic Turtle Symposium.,,01-Mar,,The University of Miami Press.,Miami,
26622,"Baillie, J. and Groombridge, B (eds.) 1996. 1996 IUCN Red List of Threatened Animals. IUCN. Gland, Switzerland.","Baillie, J. and Groombridge, B (eds.)",1996,1996 IUCN Red List of Threatened Animals.,,,,IUCN.,"Gland, Switzerland",
