SpcRecID,CtyRecID,CtyShort
5191,53,Cuba
5191,40,Cayman Islands
5191,106,Jamaica
5191,60,Dominican Republic
5191,171,Puerto Rico
5191,7,Anguilla
5191,150,Netherlands Antilles
5191,178,Saint Kitts and Nevis
5191,142,Montserrat
5191,87,Guadeloupe
5191,133,Martinique
5191,181,Saint Vincent and the Grenadines
5191,86,Grenada
14080,40,Cayman Islands
14080,87,Guadeloupe
14080,231,United States Virgin Islands
14080,16,Bahamas
2167,16,Bahamas
2167,40,Cayman Islands
13107,16,Bahamas
1621,25,Bhutan
10036,25,Bhutan
19903,25,Bhutan
8468,25,Bhutan
13368,25,Bhutan
18622,25,Bhutan
9226,25,Bhutan
9515,180,Saint Pierre and Miquelon
2047,180,Saint Pierre and Miquelon
20093,180,Saint Pierre and Miquelon
3057,180,Saint Pierre and Miquelon
11534,62,Ecuador
5191,62,Ecuador
13005,99,India
12998,99,India
5998,152,New Zealand
14839,13,Australia
18071,135,Mauritius
15869,135,Mauritius
92,191,Slovenia
544,20,Belarus
544,219,Ukraine
544,139,Republic of Moldova
544,213,Tunisia
1953,55,Czech Republic
1953,139,Republic of Moldova
1954,80,Georgia
1954,15,Azerbaijan
1956,123,Lithuania
1956,20,Belarus
1957,196,Spain
1957,67,Estonia
1957,33,Bulgaria
1957,2,Albania
1957,80,Georgia
1957,15,Azerbaijan
1957,213,Tunisia
1958,114,Kuwait
3353,140,Monaco
3353,183,San Marino
3357,123,Lithuania
3357,20,Belarus
3357,139,Republic of Moldova
3357,80,Georgia
3357,15,Azerbaijan
3367,131,Malta
3367,159,Norway
3367,72,Finland
3367,20,Belarus
3367,219,Ukraine
4896,55,Czech Republic
4898,5,Andorra
4903,5,Andorra
42605,126,Madagascar
42606,126,Madagascar
42607,126,Madagascar
42608,126,Madagascar
18071,180,Saint Pierre and Miquelon
20882,104,Israel
20942,104,Israel
119,140,Monaco
119,183,San Marino
13050,189,Singapore
12340,189,Singapore
17954,189,Singapore
2099,189,Singapore
3153,189,Singapore
30756,189,Singapore
11312,189,Singapore
15869,189,Singapore
16930,222,United States of America
16927,222,United States of America
146,189,Singapore
30756,32,Brunei Darussalam
15869,32,Brunei Darussalam
15869,128,Malaysia
15869,208,Thailand
15869,145,Myanmar
15869,229,Viet Nam
15869,99,India
15869,197,Sri Lanka
1228,208,Thailand
5191,208,Thailand
9646,208,Thailand
9590,208,Thailand
1957,208,Thailand
1956,208,Thailand
10039,208,Thailand
8451,208,Thailand
11312,116,Lao People's Democratic Republic
544,116,Lao People's Democratic Republic
4910,36,Cambodia
4910,116,Lao People's Democratic Republic
4910,189,Singapore
8475,116,Lao People's Democratic Republic
20907,116,Lao People's Democratic Republic
15869,45,Christmas Island
14913,45,Christmas Island
15869,46,Cocos (Keeling) Islands
17609,46,Cocos (Keeling) Islands
8448,46,Cocos (Keeling) Islands
14913,46,Cocos (Keeling) Islands
8443,177,Saint Helena
18071,177,Saint Helena
5191,177,Saint Helena
15869,177,Saint Helena
4000,71,Fiji
21833,73,France
7094,101,Iran (Islamic Republic of)
9824,62,Ecuador
15486,10,Argentina
15487,47,Colombia
14319,26,Bolivia
20469,212,Trinidad and Tobago
16868,62,Ecuador
1228,145,Myanmar
9646,145,Myanmar
1957,145,Myanmar
1956,145,Myanmar
8450,145,Myanmar
17954,145,Myanmar
42727,78,Gabon
42727,236,Democratic Republic of the Congo
42727,110,Kenya
42727,146,Namibia
42727,194,South Africa
42727,207,United Republic of Tanzania
42727,49,Congo
42727,6,Angola
42727,237,Zambia
42727,127,Malawi
42727,144,Mozambique
42727,28,Botswana
42727,238,Zimbabwe
42727,201,Swaziland
42729,186,Senegal
42729,79,Gambia
42729,90,Guinea
42729,188,Sierra Leone
42729,120,Liberia
42729,56,Côte d'Ivoire
42729,82,Ghana
42729,209,Togo
42729,23,Benin
42729,155,Nigeria
42729,134,Mauritania
42729,130,Mali
42729,34,Burkina Faso
42729,154,Niger
42729,42,Chad
42729,66,Eritrea
42729,68,Ethiopia
42729,58,Djibouti
42729,193,Somalia
42729,218,Uganda
42729,110,Kenya
42729,37,Cameroon
42729,41,Central African Republic
42730,10,Argentina
42730,165,Paraguay
42732,22,Belize
42732,89,Guatemala
42732,95,Honduras
42732,137,Mexico
42732,153,Nicaragua
42732,51,Costa Rica
42732,163,Panama
42732,47,Colombia
42729,270,South Sudan
42732,62,Ecuador
42732,166,Peru
42733,47,Colombia
42733,228,Venezuela (Bolivarian Republic of)
42733,92,Guyana
42733,30,Brazil
42734,47,Colombia
42734,62,Ecuador
42734,166,Peru
28982,137,Mexico
28982,22,Belize
28982,89,Guatemala
28982,95,Honduras
28982,153,Nicaragua
28982,51,Costa Rica
28982,163,Panama
28982,47,Colombia
28982,62,Ecuador
28982,228,Venezuela (Bolivarian Republic of)
27901,163,Panama
29297,137,Mexico
29298,137,Mexico
28751,106,Jamaica
42737,62,Ecuador
42741,166,Peru
42741,26,Bolivia
2476,39,Cape Verde
17244,39,Cape Verde
23211,39,Cape Verde
16564,39,Cape Verde
15421,39,Cape Verde
9461,39,Cape Verde
9249,39,Cape Verde
9250,39,Cape Verde
20738,39,Cape Verde
6336,39,Cape Verde
22563,39,Cape Verde
20731,39,Cape Verde
20733,39,Cape Verde
3145,31,British Indian Ocean Territory
4000,31,British Indian Ocean Territory
17609,31,British Indian Ocean Territory
19010,165,Paraguay
11048,208,Thailand
13246,208,Thailand
9249,208,Thailand
15421,208,Thailand
16564,208,Thailand
18596,208,Thailand
20731,208,Thailand
2476,208,Thailand
11047,229,Viet Nam
13244,167,Philippines
9461,167,Philippines
8551,167,Philippines
2474,205,"Taiwan, Province of China"
2477,229,Viet Nam
9589,110,Kenya
16626,187,Seychelles
15706,187,Seychelles
10553,208,Thailand
12124,208,Thailand
4000,177,Saint Helena
21537,37,Cameroon
28947,10,Argentina
28947,26,Bolivia
9528,222,United States of America
9525,174,Russian Federation
21991,30,Brazil
1036,89,Guatemala
5191,107,Japan
15869,107,Japan
901,44,China
8468,65,Equatorial Guinea
43463,30,Brazil
43464,30,Brazil
1805,92,Guyana
17484,129,Maldives
17046,129,Maldives
5191,129,Maldives
8467,214,Turkey
15155,54,Cyprus
1960,118,Lebanon
8467,118,Lebanon
2074,108,Jordan
15802,108,Jordan
16628,108,Jordan
18071,108,Jordan
15639,108,Jordan
20882,108,Jordan
29294,100,Indonesia
11312,36,Cambodia
22183,36,Cambodia
1562,36,Cambodia
2438,36,Cambodia
128,36,Cambodia
11476,36,Cambodia
15708,36,Cambodia
9210,36,Cambodia
20901,36,Cambodia
17033,36,Cambodia
666,28,Botswana
14005,28,Botswana
13053,165,Paraguay
5664,271,Sudan
43509,78,Gabon
43511,160,Oman
43511,220,United Arab Emirates
3897,138,Micronesia (Federated States of)
43537,162,Palau
43538,138,Micronesia (Federated States of)
43539,138,Micronesia (Federated States of)
18764,232,Wallis and Futuna Islands 
18754,164,Papua New Guinea
43561,164,Papua New Guinea
43557,192,Solomon Islands
43562,192,Solomon Islands
13561,148,Nepal
13561,206,Tajikistan
11048,161,Pakistan
18766,189,Singapore
23037,189,Singapore
23039,189,Singapore
16103,189,Singapore
15874,189,Singapore
2051,189,Singapore
14519,189,Singapore
17244,128,Malaysia
13252,128,Malaysia
9249,128,Malaysia
15951,84,Greece
15951,99,India
15951,101,Iran (Islamic Republic of)
15951,102,Iraq
15951,104,Israel
15951,161,Pakistan
15951,204,Syrian Arab Republic
15951,214,Turkey
18146,18,Bangladesh
18146,36,Cambodia
18146,116,Lao People's Democratic Republic
18146,145,Myanmar
18868,51,Costa Rica
18868,163,Panama
18766,229,Viet Nam
18766,99,India
13561,208,Thailand
13561,229,Viet Nam
15874,32,Brunei Darussalam
29674,148,Nepal
3125,25,Bhutan
3125,208,Thailand
4696,148,Nepal
15374,148,Nepal
17244,160,Oman
23211,99,India
9461,160,Oman
8153,99,India
2477,114,Kuwait
2478,185,Saudi Arabia
2474,185,Saudi Arabia
2476,63,Egypt
12845,1,Afghanistan
15874,1,Afghanistan
8153,110,Kenya
8153,207,United Republic of Tanzania
4185,218,Uganda
43509,37,Cameroon
43509,65,Equatorial Guinea
43509,49,Congo
44255,126,Madagascar
44256,3,Algeria
44256,121,Libyan Arab Jamahiriya
18725,145,Myanmar
18729,99,India
19516,102,Iraq
29672,102,Iraq
14021,102,Iraq
10274,102,Iraq
44261,167,Philippines
10777,153,Nicaragua
44287,100,Indonesia
44288,100,Indonesia
44289,100,Indonesia
44291,127,Malawi
44308,13,Australia
44312,176,Réunion
44368,100,Indonesia
10777,53,Cuba
2855,26,Bolivia
9825,22,Belize
20469,22,Belize
2167,22,Belize
129,230,British Virgin Islands
18624,228,Venezuela (Bolivarian Republic of)
3347,10,Argentina
17484,212,Trinidad and Tobago
17046,212,Trinidad and Tobago
2007,51,Costa Rica
28768,42,Chad
28768,233,Western Sahara
28768,3,Algeria
28768,130,Mali
44469,30,Brazil
158,47,Colombia
22794,271,Sudan
3733,47,Colombia
16824,163,Panama
7073,92,Guyana
22710,195,South Georgia and the South Sandwich Islands
8270,10,Argentina
11908,166,Peru
28768,134,Mauritania
13094,63,Egypt
11155,63,Egypt
3057,170,Portugal
6402,170,Portugal
6494,167,Philippines
4000,152,New Zealand
7073,152,New Zealand
3057,152,New Zealand
8476,152,New Zealand
5191,152,New Zealand
13895,25,Bhutan
29583,99,India
14916,80,Georgia
14916,215,Turkmenistan
14916,225,Uzbekistan
9515,38,Canada
9592,237,Zambia
11477,176,Réunion
4000,192,Solomon Islands
20884,170,Portugal
9592,170,Portugal
19720,10,Argentina
19720,165,Paraguay
19719,10,Argentina
19719,26,Bolivia
19721,166,Peru
19721,26,Bolivia
19721,165,Paraguay
19721,30,Brazil
19721,10,Argentina
12420,90,Guinea
15565,209,Togo
15869,167,Philippines
4780,53,Cuba
14778,157,Norfolk Island
16808,30,Brazil
5191,26,Bolivia
5191,10,Argentina
5191,43,Chile
5191,166,Peru
5191,199,Suriname
1224,26,Bolivia
14912,26,Bolivia
9218,26,Bolivia
32054,170,Portugal
981,170,Portugal
8105,170,Portugal
12277,170,Portugal
19468,10,Argentina
19468,26,Bolivia
19468,166,Peru
19469,10,Argentina
19469,43,Chile
3087,126,Madagascar
5685,12,Aruba
2062,126,Madagascar
18596,51,Costa Rica
18596,78,Gabon
43612,145,Myanmar
29672,99,India
22041,25,Bhutan
7951,174,Russian Federation
7952,174,Russian Federation
7951,109,Kazakhstan
